label,orb_avg_0,orb_avg_1,orb_avg_2,orb_avg_3,orb_avg_4,orb_avg_5,orb_avg_6,orb_avg_7,orb_avg_8,orb_avg_9,orb_avg_10,orb_avg_11,orb_avg_12,orb_avg_13,orb_avg_14,orb_avg_15,orb_avg_16,orb_avg_17,orb_avg_18,orb_avg_19,orb_avg_20,orb_avg_21,orb_avg_22,orb_avg_23,orb_avg_24,orb_avg_25,orb_avg_26,orb_avg_27,orb_avg_28,orb_avg_29,orb_avg_30,orb_avg_31
1F2N,105.858,135.812,112.066,157.882,132.208,141.896,140.138,137.088,126.192,111.394,147.338,97.72,151.126,139.12,108.77,108.806,147.876,127.486,98.456,125.344,121.396,148.236,117.04,149.098,153.292,149.214,135.674,120.238,114.698,120.446,135.134,128.882
1F2N,124.082,131.668,122.47,141.032,121.75,138.062,118.66,122.598,128.928,111.18,157.552,109.5,148.63,131.38,102.954,111.592,131.622,147.994,139.106,113.402,116.096,136.484,143.788,111.14,157.392,170.148,117.322,108.958,128.188,127.798,125.542,115.626
1F2N,103.014,131.89,109.5,159.284,123.198,141.082,134.552,133.458,125.832,104.364,142.004,93.52,150.256,135.936,109.098,102.79,143.112,123.234,101.738,123.162,113.87,143.182,113.842,149.56,149.156,150.684,135.334,116.448,113.72,124.024,133.542,123.552
1F2N,109.38,131.562,130.198,116.768,125.55,140.332,130.988,133.178,136.988,122.776,149.504,119.438,139.506,148.77,111.008,116.708,132.214,134.198,147.094,123.808,130.68,139.588,135.59,119.462,136.942,141.858,114.046,123.286,123.934,126.184,121.23,144.168
1F2N,109.522,128.302,131.49,116.448,121.964,118.808,118.486,123.954,135.804,144.794,150.93,105.396,151.998,136.424,97.56,109.194,122.056,157.068,144.148,100.042,111.332,158.162,170.576,91.486,160.078,158.244,96.266,99.618,124.986,134.364,114.318,124.66
1F2N,90.452,109.034,149.536,135.356,117.632,111.29,147.768,136.04,124.364,170.102,189.842,119.186,168.104,180.84,133.31,142.084,162.472,172.042,166.132,100.902,111.902,187.312,187.704,141.964,136.492,152.812,116.646,112.52,108.964,124.618,107.444,163.94
1F2N,111.814,132.54,129.614,119.832,119.324,119.768,116.148,126.77,130.894,131.064,141.264,97.732,148.51,131.386,94.346,101.568,117.584,151.178,135.97,102.056,115.822,150.12,161.828,86.92,161.16,159.974,96.67,100.914,123.938,132.64,116.334,114.536
1F2N,124.752,131.032,122.286,141.54,122.3,134.904,121.538,123.414,132.42,116.306,155.934,103.076,152.21,132.794,104.024,113.476,135.122,147.95,135.14,112.744,117.996,138.012,143.894,110.18,156.264,165.736,120.89,110.046,129.886,127.404,128.844,117.646
1F2N,112.66,136.466,131.504,121.332,126.294,121.03,117.552,132.64,130.996,134.352,141.19,97.52,148.928,132.91,96.154,103.054,119.396,151.756,136.76,104.988,120.808,151.83,162.594,87.692,160.362,160.234,98.094,103.33,127.058,134.466,121.724,120.782
1F2N,103.266,131.3,107.61,159.684,125.642,143.13,136.372,135.944,123.704,102.406,146.952,93.636,149.974,137.614,106.168,104.644,145.668,124.864,99.178,123.87,116.544,142.958,114.508,147.98,149.286,152.14,134.42,117.578,114.104,121.616,133.394,126.986
1F2N,111.492,133.492,124.556,118.286,130.002,139.91,134.006,136.89,130.046,124.742,146.724,119.132,133.164,147.15,108.742,114.112,133.842,136.566,139.082,129.726,129.734,136.874,128.71,123.902,134.516,138.948,112.59,122.994,122.172,128.49,123.51,142.058
1F2N,112.134,129.23,132.162,116.94,121.132,119.054,122.532,128.796,133.702,139.336,146.596,105.838,149.588,136.444,102.712,106.324,121.7,149.166,142.278,102.234,117.09,156.438,166.542,91.734,157.098,155.698,101.502,99.07,121.982,136.66,118.548,121.388
1F2N,108.308,134.06,112.124,160.616,127.796,144.626,137.688,135.834,124.224,109.252,149.164,95.62,150.746,138.458,111.104,103.25,145.43,129.484,101.536,126.594,115.35,145.028,118.66,147.218,153.878,157.156,136.876,118.866,117.48,126.578,136.316,130.91
1F2N,122.768,136.988,121.13,141.85,123.72,136.714,120.24,128.182,131.052,113.428,155.238,106.024,147.58,135.37,102.858,116.556,133.436,150.076,131.958,117.176,120.534,137.566,146.236,113.048,156.08,165.612,117.05,112.598,130.83,126.788,129.048,120.978
1F2N,108.632,133.718,126.608,113.266,127.578,138.57,129.426,137.026,130.292,123.682,145.788,111.908,131.606,148.528,109.32,112.936,133.676,136.166,143.444,125.008,128.74,138.08,132.262,120.654,132.756,142.308,113.99,122.602,122.888,130.588,128.504,144.318
1F2N,119.008,133.134,125.612,143.332,122.162,143.01,118.294,123.172,133.942,111.832,156.288,100.332,145.688,140.03,100.95,111.512,138.332,146.352,138.222,113.278,115.922,133.566,145.156,116.538,160.46,165.026,119.82,114.218,129.42,126.652,127.938,119.546
1F2N,111.946,138.278,127.54,115.686,131.09,140.938,133.064,143.066,133.386,126.198,146.976,120.256,137.326,150.494,109.634,117.776,135.08,137.152,142.512,131.696,136.632,138.896,132.694,125.712,133.858,141.094,114.44,126.59,125.394,132.446,123.412,143.992
